parquet_column,parquet_type,app_equivalent,human_alias,app_type,code_map
"Mês e ano de falecimento entre janeiro de 2020 a dezembro de 2020, Sexo da pessoa falecida é feminino, 60 anos ou mais",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2021 a dezembro de 2021, Sexo da pessoa falecida é masculino, 0 a 14 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2021 a dezembro de 2021, Sexo da pessoa falecida é masculino, 15 a 29 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2021 a dezembro de 2021, Sexo da pessoa falecida é masculino, 30 a 59 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2021 a dezembro de 2021, Sexo da pessoa falecida é masculino, 60 anos ou mais",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2021 a dezembro de 2021, Sexo da pessoa falecida é feminino, 0 a 14 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2021 a dezembro de 2021, Sexo da pessoa falecida é feminino, 15 a 29 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2021 a dezembro de 2021, Sexo da pessoa falecida é feminino, 30 a 59 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2021 a dezembro de 2021, Sexo da pessoa falecida é feminino, 60 anos ou mais",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2022 a julho de 2022, Sexo da pessoa falecida é masculino, 0 a 14 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2022 a julho de 2022, Sexo da pessoa falecida é masculino, 15 a 29 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2022 a julho de 2022, Sexo da pessoa falecida é masculino, 30 a 59 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2022 a julho de 2022, Sexo da pessoa falecida é masculino, 60 anos ou mais",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2022 a julho de 2022, Sexo da pessoa falecida é feminino, 0 a 14 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2022 a julho de 2022, Sexo da pessoa falecida é feminino, 15 a 29 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2022 a julho de 2022, Sexo da pessoa falecida é feminino, 30 a 59 anos",BIGINT,,,,
"Mês e ano de falecimento entre janeiro de 2022 a julho de 2022, Sexo da pessoa falecida é feminino, 60 anos ou mais",BIGINT,,,,
Quantidade de moradores,BIGINT,,,,
Sexo masculino,BIGINT,,,,
Sexo feminino,BIGINT,,,,
"Sexo masculino, 0 a 4 anos",BIGINT,,,,
"Sexo masculino, 5 a 9 anos",BIGINT,,,,
"Sexo masculino, 10 a 14 anos",BIGINT,,,,
"Sexo masculino, 15 a 19 anos",BIGINT,,,,
"Sexo masculino, 20 a 24 anos",BIGINT,,,,
"Sexo masculino, 25 a 29 anos",BIGINT,,,,
"Sexo masculino, 30 a 39 anos",BIGINT,,,,
"Sexo masculino, 40 a 49 anos",BIGINT,,,,
"Sexo masculino, 50 a 59 anos",BIGINT,,,,
"Sexo masculino, 60 a 69 anos",BIGINT,,,,
"Sexo masculino, 70 anos ou mais",BIGINT,,,,
"Sexo feminino, 0 a 4 anos",BIGINT,,,,
"Sexo feminino, 5 a 9 anos",BIGINT,,,,
"Sexo feminino, 10 a 14 anos",BIGINT,,,,
"Sexo feminino, 15 a 19 anos",BIGINT,,,,
"Sexo feminino, 20 a 24 anos",BIGINT,,,,
"Sexo feminino, 25 a 29 anos",BIGINT,,,,
"Sexo feminino, 30 a 39 anos",BIGINT,,,,
"Sexo feminino, 40 a 49 anos",BIGINT,,,,
"Sexo feminino, 50 a 59 anos",BIGINT,,,,
"Sexo feminino, 60 a 69 anos",BIGINT,,,,
"Sexo feminino, 70 anos ou mais",BIGINT,,,,
0 a 4 anos,BIGINT,,,,
5 a 9 anos,BIGINT,,,,
10 a 14 anos,BIGINT,,,,
15 a 19 anos,BIGINT,,,,
20 a 24 anos,BIGINT,,,,
25 a 29 anos,BIGINT,,,,
30 a 39 anos,BIGINT,,,,
40 a 49 anos,BIGINT,,,,
50 a 59 anos,BIGINT,,,,
60 a 69 anos,BIGINT,,,,
70 anos ou mais,BIGINT,,,,
Cor ou raça é branca,BIGINT,,,,
Cor ou raça é preta,BIGINT,,,,
Cor ou raça é amarela,BIGINT,,,,
Cor ou raça é parda,BIGINT,,,,
Cor ou raça é indígena,BIGINT,,,,
"Sexo masculino, Cor ou raça é branca",BIGINT,,,,
"Sexo masculino, Cor ou raça é preta",BIGINT,,,,
"Sexo masculino, Cor ou raça é amarela",BIGINT,,,,
"Sexo masculino, Cor ou raça é parda",BIGINT,,,,
"Sexo masculino, Cor ou raça é indígena",BIGINT,,,,
"Sexo feminino, Cor ou raça é branca",BIGINT,,,,
"Sexo feminino, Cor ou raça é preta",BIGINT,,,,
"Sexo feminino, Cor ou raça é amarela",BIGINT,,,,
"Sexo feminino, Cor ou raça é parda",BIGINT,,,,
"Sexo feminino, Cor ou raça é  indígena",BIGINT,,,,
Cor ou raça da pessoa responsável pelo domicílio é branca,BIGINT,,,,
Cor ou raça da pessoa responsável pelo domicílio é preta,BIGINT,,,,
Cor ou raça da pessoa responsável pelo domicílio é amarela,BIGINT,,,,
Cor ou raça da pessoa responsável pelo domicílio é parda,BIGINT,,,,
Cor ou raça da pessoa responsável pelo domicílio é indígena,BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é branca, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é branca, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é preta, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é preta, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é amarela, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é amarela, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é parda, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é parda, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é indígena, Sexo da pessoa responsável pelo domicílio é masculino",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é indígena, Sexo da pessoa responsável pelo domicílio é feminino",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é branca, 12 a 17 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é branca, 18 a 24 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é branca, 25 a 39 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é branca, 40 a 59 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é branca, 60 anos ou mais",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é preta, 12 a 17 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é preta, 18 a 24 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é preta, 25 a 39 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é preta, 40 a 59 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é preta, 60 anos ou mais",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é amarela, 12 a 17 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é amarela, 18 a 24 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é amarela, 25 a 39 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é amarela, 40 a 59 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é amarela, 60 anos ou mais",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é parda, 12 a 17 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é parda, 18 a 24 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é parda, 25 a 39 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é parda, 40 a 59 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é parda, 60 anos ou mais",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é indígena, 12 a 17 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é indígena, 18 a 24 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é indígena, 25 a 39 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é indígena, 40 a 59 anos",BIGINT,,,,
"Cor ou raça da pessoa responsável pelo domicílio é indígena, 60 anos ou mais",BIGINT,,,,
"0 a 14 anos, Cor ou raça é branca",BIGINT,,,,
"0 a 14 anos, Cor ou raça é preta",BIGINT,,,,
"0 a 14 anos, Cor ou raça é amarela",BIGINT,,,,
"0 a 14 anos, Cor ou raça é parda",BIGINT,,,,
"0 a 14 anos, Cor ou raça é indígena",BIGINT,,,,
"15 a 29 anos, Cor ou raça é branca",BIGINT,,,,
"15 a 29 anos, Cor ou raça é preta",BIGINT,,,,
"15 a 29 anos, Cor ou raça é amarela",BIGINT,,,,
"15 a 29 anos, Cor ou raça é parda",BIGINT,,,,
"15 a 29 anos, Cor ou raça é indígena",BIGINT,,,,
"30 a 59 anos, Cor ou raça é branca",BIGINT,,,,
"30 a 59 anos, Cor ou raça é preta",BIGINT,,,,
"30 a 59 anos, Cor ou raça é amarela",BIGINT,,,,
"30 a 59 anos, Cor ou raça é parda",BIGINT,,,,
"30 a 59 anos, Cor ou raça é indígena",BIGINT,,,,
"60 anos ou mais, Cor ou raça é branca",BIGINT,,,,
"60 anos ou mais, Cor ou raça é preta",BIGINT,,,,
"60 anos ou mais, Cor ou raça é amarela",BIGINT,,,,
"60 anos ou mais, Cor ou raça é parda",BIGINT,,,,
"60 anos ou mais, Cor ou raça é indígena",BIGINT,,,,
"Sexo masculino, 0 a 9 anos, Cor ou raça é branca",BIGINT,,,,
"Sexo masculino, 0 a 9 anos, Cor ou raça é preta",BIGINT,,,,
"Sexo masculino, 0 a 9 anos, Cor ou raça é amarela",BIGINT,,,,
"Sexo masculino, 0 a 9 anos, Cor ou raça é parda",BIGINT,,,,
"Sexo masculino, 0 a 9 anos, Cor ou raça é indígena",BIGINT,,,,
"Sexo masculino, 10 anos ou mais, Cor ou raça é branca",BIGINT,,,,
"Sexo masculino, 10 anos ou mais, Cor ou raça é preta",BIGINT,,,,
"Sexo masculino, 10 anos ou mais, Cor ou raça é amarela",BIGINT,,,,
"Sexo masculino, 10 anos ou mais, Cor ou raça é parda",BIGINT,,,,
"Sexo masculino, 10 anos ou mais, Cor ou raça é indígena",BIGINT,,,,
"Sexo feminino, 0 a 9 anos, Cor ou raça é branca",BIGINT,,,,
"Sexo feminino, 0 a 9 anos, Cor ou raça é preta",BIGINT,,,,
"Sexo feminino, 0 a 9 anos, Cor ou raça é amarela",BIGINT,,,,
"Sexo feminino, 0 a 9 anos, Cor ou raça é parda",BIGINT,,,,
"Sexo feminino, 0 a 9 anos, Cor ou raça é indígena",BIGINT,,,,
"Sexo feminino, 10 anos ou mais, Cor ou raça é branca",BIGINT,,,,
"Sexo feminino, 10 anos ou mais, Cor ou raça é preta",BIGINT,,,,
"Sexo feminino, 10 anos ou mais, Cor ou raça é amarela",BIGINT,,,,
"Sexo feminino, 10 anos ou mais, Cor ou raça é parda",BIGINT,,,,
"Sexo feminino, 10 anos ou mais, Cor ou raça é indígena",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza carro-pipa, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza água da chuva armazenada, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza rios, açudes, córregos, lagos e igarapés, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza outra forma de abastecimento de água, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza carro-pipa, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza água da chuva armazenada, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza rios, açudes, córregos, lagos e igarapés, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza outra forma de abastecimento de água, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza carro-pipa, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza água da chuva armazenada, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza rios, açudes, córregos, lagos e igarapés, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza outra forma de abastecimento de água, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza carro-pipa, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza água da chuva armazenada, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza rios, açudes, córregos, lagos e igarapés, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Utiliza outra forma de abastecimento de água, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Água chega encanada até dentro da casa, apartamento ou habitação, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Água chega encanada, mas apenas ao terreno, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Água não chega encanada ao domicílio, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Água chega encanada até dentro da casa, apartamento ou habitação, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Água chega encanada, mas apenas ao terreno, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Água não chega encanada ao domicílio, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Água chega encanada até dentro da casa, apartamento ou habitação, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Água chega encanada, mas apenas ao terreno, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Água não chega encanada ao domicílio, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Água chega encanada até dentro da casa, apartamento ou habitação, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Água chega encanada, mas apenas ao terreno, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Água não chega encanada ao domicílio, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 1 banheiro de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 2 banheiros de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 3 banheiros de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 4 ou mais banheiros de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Apenas banheiro de uso comum a mais de um domicílio, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Apenas sanitário ou buraco para dejeções, inclusive os localizados no terreno, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Não tinham banheiro nem sanitário, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 1 banheiro de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 2 banheiros de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 3 banheiros de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 4 ou mais banheiros de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Apenas banheiro de uso comum a mais de um domicílio, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Apenas sanitário ou buraco para dejeções, inclusive os localizados no terreno, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Não tinham banheiro nem sanitário, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 1 banheiro de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 2 banheiros de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 3 banheiros de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 4 ou mais banheiros de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Apenas banheiro de uso comum a mais de um domicílio, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Apenas sanitário ou buraco para dejeções, inclusive os localizados no terreno, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Não tinham banheiro nem sanitário, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 1 banheiro de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 2 banheiros de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 3 banheiros de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, 4 ou mais banheiros de uso exclusivo com chuveiro e vaso sanitário existentes no domicílio, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Apenas banheiro de uso comum a mais de um domicílio, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Apenas sanitário ou buraco para dejeções, inclusive os localizados no terreno, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Não tinham banheiro nem sanitário, Pessoas de sexo feminino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é rede geral ou pluvial, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa séptica ou fossa filtro ligada à rede, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa séptica ou fossa filtro não ligada à rede, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa rudimentar ou buraco, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é vala, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é rio, lago, córrego ou mar, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é outra forma, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto inexistente, pois não tinham banheiro nem sanitário, Quantidade de moradores",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é rede geral ou pluvial, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa séptica ou fossa filtro ligada à rede, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa séptica ou fossa filtro não ligada à rede, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa rudimentar ou buraco, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é vala, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é rio, lago, córrego ou mar, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é outra forma, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto inexistente, pois não tinham banheiro nem sanitário, Quantidade de crianças de zero a nove anos de idade",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é rede geral ou pluvial, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa séptica ou fossa filtro ligada à rede, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa séptica ou fossa filtro não ligada à rede, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa rudimentar ou buraco, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é vala, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é rio, lago, córrego ou mar, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é outra forma, Pessoas de sexo masculino no domicílio",BIGINT,,,,
"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto inexistente, pois não tinham banheiro nem sanitário, Pessoas de sexo masculino no domicílio",BIGINT,,,,
